ray,radius_kpc,ref_accel_mag,ref_selfconv_rel_l2,galax-50_rel_l2,galax-50_angle_deg,galax-100_rel_l2,galax-100_angle_deg,galax-200_rel_l2,galax-200_angle_deg,galax-500_rel_l2,galax-500_angle_deg,galpy-50_rel_l2,galpy-50_angle_deg
x-axis,261.0157215682533,1.1815867754640968e-05,1.5684908862193114e-13,0.0069703669509443705,0.0,0.003640252081318009,0.0,0.00017428764821333088,0.0,3.1898000578570617e-11,0.0,0.006970366966723332,0.0
x-axis,316.22776601683796,8.021356604467503e-06,5.99792201948127e-14,0.016808638418978547,0.0,0.0028520307785257827,0.0,0.0002695606372118232,0.0,2.2119618346758757e-10,0.0,0.016808638434911476,0.0
x-axis,383.1186849557285,5.451845288249903e-06,1.786712274175924e-14,0.018699855681302426,0.0,0.008307455789779698,0.0,0.0005834762415033571,0.0,3.0527366625218677e-09,0.0,0.018699855697264914,0.0
x-axis,464.1588833612773,3.708330744749227e-06,4.134285046448566e-14,0.009349938573920195,0.0,0.008902859472084574,0.0,0.0013646553748052214,0.0,2.7434555955064544e-09,0.0,0.009349938589736234,0.0
x-axis,562.341325190349,2.523712301562753e-06,8.373962444493609e-14,0.005864027660951876,0.0,0.005439335504585351,0.0,0.000411466436120309,0.0,7.114602148559371e-08,0.0,0.005864027645374627,0.0
x-axis,681.2920690579608,1.7181196406493348e-06,2.913629877590792e-13,0.022985245368476785,0.0,0.0006480854376857686,0.0,0.002519422538245058,0.0,3.506350076870088e-07,0.0,0.022985245353167656,0.0
x-axis,825.4041852680173,1.1699564147584328e-06,7.440773866090594e-13,0.02437714223320641,0.0,0.0006673422262992539,0.0,0.005546477077200512,0.0,5.013011932054482e-07,0.0,0.02437714221791889,0.0
x-axis,1000.0,7.968113502325719e-07,1.341010093101693e-12,0.006173971015693169,0.0,0.005397933362371023,0.0,0.004558357703463964,0.0,1.3166629594790613e-05,0.0,0.006173971031459472,0.0
y-axis,0.001,0.025690131934933892,2.039251846085301e-13,1.5750046841024153e-11,0.0,1.5748156143948325e-11,0.0,1.5757339529745206e-11,0.0,1.5737082061075615e-11,0.0,7.967937676758762e-14,0.0
y-axis,0.001211527658628589,0.031122530746970536,2.0534066903024322e-13,1.5749696200937884e-11,0.0,1.5747801091614597e-11,0.0,1.5756830730154955e-11,0.0,1.5736653389712916e-11,0.0,7.959459157851453e-14,0.0
y-axis,0.0014677992676220691,0.03770265127619848,2.0815217868436165e-13,1.574944535016367e-11,0.0,1.574760492418062e-11,0.0,1.575680705409587e-11,0.0,1.5736562368282317e-11,0.0,7.969044506662012e-14,0.0
y-axis,0.0017782794100389228,0.045672194157165315,2.0464727524142305e-13,1.5749939927688544e-11,0.0,1.5748268717571513e-11,0.0,1.5757536337311415e-11,0.0,1.5737026031329667e-11,0.0,8.021808561803526e-14,0.0
y-axis,0.0021544346900318843,0.05532315106630088,2.0444238705441342e-13,1.574933844038201e-11,0.0,1.5747582493499347e-11,0.0,1.5756738502244668e-11,0.0,1.573641968831669e-11,0.0,7.95193088297697e-14,0.0
y-axis,0.0026101572156825357,0.06700779374345636,2.0400046363307338e-13,1.5749664220858775e-11,0.0,1.5747800257231684e-11,0.0,1.575732718243682e-11,0.0,1.573703068960848e-11,0.0,7.973622182614139e-14,0.0
y-axis,0.0031622776601683794,0.08115027284233024,2.0555816216908912e-13,1.5748799261598995e-11,0.0,1.5746747100246238e-11,0.0,1.5755981826333643e-11,0.0,1.5735973253144268e-11,0.0,7.900821208164616e-14,0.0
y-axis,0.003831186849557285,0.09825977864545368,2.0366186749791016e-13,1.5750039400867506e-11,0.0,1.5748062101183072e-11,0.0,1.5757383656838256e-11,0.0,1.5737045717226944e-11,0.0,8.022187291181452e-14,0.0
y-axis,0.004641588833612777,0.11894490813139051,2.0522970791633538e-13,1.5749017432551792e-11,0.0,1.574715064726092e-11,0.0,1.5756251225553913e-11,0.0,1.573618328367706e-11,0.0,7.89883526204591e-14,0.0
y-axis,0.005623413251903491,0.14392828673912622,2.0614926367379144e-13,1.574891666656851e-11,0.0,1.5746988235664183e-11,0.0,1.5756051860914515e-11,0.0,1.5735610493328657e-11,0.0,7.848713780659534e-14,0.0
y-axis,0.006812920690579608,0.1740593860371862,2.0155791869019176e-13,1.57481475411864e-11,0.0,1.5746234016641883e-11,0.0,1.575564217898575e-11,0.0,1.5735390710889633e-11,0.0,7.82950459469178e-14,0.0
y-axis,0.008254041852680182,0.210321485296922,2.0059041935819244e-13,1.5749911039016088e-11,0.0,1.5748063495679905e-11,0.0,1.5757169244979658e-11,0.0,1.5737110203043968e-11,0.0,8.023616774329306e-14,0.0
y-axis,0.01,0.25382523449472455,2.0032765705522791e-13,1.574934049702289e-11,0.0,1.574737221218284e-11,0.0,1.5756557541436407e-11,0.0,1.573665599472035e-11,0.0,7.916879023363212e-14,0.0
y-axis,0.012115276586285882,0.3057753473919323,1.9933341445536399e-13,1.5746795115265064e-11,0.0,1.5744979692546903e-11,0.0,1.5754238348409525e-11,0.0,1.5734268698509752e-11,0.0,7.715546552235572e-14,0.0
y-axis,0.01467799267622069,0.3673872820300514,1.9793719507956476e-13,1.5747037096902227e-11,0.0,1.5745223931756475e-11,0.0,1.575413866038977e-11,0.0,1.573449603797742e-11,0.0,7.675732450415176e-14,0.0
